Character,Line
INTERCOM," Dr. Remore, report to first floor emergency, stat."
DR. REMORE," Well then, uh, I uhh, guess that's me. Anyone else need to go on the elevator?"
DR. HORTON," No, no, they only said you."
DR. REMORE," Oh, ok. Alright."
AMGER, I love you Drake.
DR. REMORE," Yeah, whatever. Oh no."
AMBER," Drake, look out."
DR. REMORE, Ahhhhhhhhhhhhhhhhhhhhhhhhh.
 MONICA, Did they just kill off Joey?
ROSS, No. [sound of Dr. Remore's body hitting the bottom of the shaft] Now maybe.
[Scene, Joey's apartment. Everyone is outside knocking.]
ROSS, C'mon.
RACHEL, Joey.
ROSS, Open up. We want to talk to you.
JOEY, I don't feel like talkin.
RACHEL," Oh c'mon Joey, we care about you."
CHANDLER, We're worried about you.
MONICA, And some of us really have to pee.
MONICA, Sorry Joey [runs to the bathroom]
JOEY, Hey.
PHOEBE," Listen, sorry about your death, that really sucks."
CHANDLER, We came over as soon as we saw.
ROSS, How could you not tell us?
JOEY," I don't know, I was kinda hopin' no one would ever find out."
RACHEL," Well, maybe they can find a way to bring you back."
 JOEY," Naa, they said that when they found my body, my brain was so"
 PHOEBE," But Joey, you're gonna be fine. You don't need that show, it"
JOEY," Phoebe, this was the greatest thing that ever happened to me."
PHOEBE," Yes, I was going to incorporate that. Oh good, here's Monica, she'll have"
MONICA," Um, I straightened out your shower curtain so you won't get mildew. What? To me"
CHANDLER, It's gonna be ok. You know that?
JOEY," No, I don't. It's like, ya know, you work your whole life for somethin' and you"
CHANDLER, I'm sorry man.
 RACHEL," Yeah, Joey honey, I don't know if this'll mean anything to"
JOEY," No, that means nothin to me."
[Scene, Chandler and Eddie's apartment.Chandler walks in to see Eddie holding a tray of
CHANDLER, Uhhhaahh.
 EDDIE," Pecan sandy, just made em."
CHANDLER," Yeah alright. What're these, raisins?"
EDDIE," Uh, sure, why not."
CHANDLER," [throws it across the room while Eddie's not looking] Listen Eddie, um, I've"
 EDDIE," I got a little surprise, look. There's a new fishie. I named"
CHANDLER," [looks in the fish bowl to see a fish cracker] Well that's not an, even a real"
EDDIE, What's you point man?
CHANDLER," Ok, good night. [walks towards his room] You big freak of nature."
[Scene, Monica and Rachel's apartment.]
ROSS, Hey.
RICHARD, Hey.
ROSS, Hey.
RICHARD," Ohh, brisk tonight."
ROSS, Oh man.
RICHARD, Let's never speak of this.
ROSS, You got it. 
[Scene, Chandler's bedroom. Chandler is sleeping and Eddie is there
CHANDLER, Hey Eddie. Daahh!! What're you doin' here?
EDDIE," Nothin' roomie, just watchin' you sleep."
CHANDLER, Why?
EDDIE," Makes me feel um, peaceful, heh-heh, please."
CHANDLER, I can't sleep now.
EDDIE, You want me to sing?
CHANDLER," No, look, that's it, it's over, I want you out, I want you out of the apartment"
 EDDIE," Woah, woah, woah, what're, what're you talkin' about man."
CHANDLER, Hannibal Lecter...better roommate than you.
 EDDIE, No. See now I don't think you're being fair. I mean one night
CHANDLER, I didn't realize that.
EDDIE, Yeah.
CHANDLER, GET OUT NOW!!
EDDIE," Ok, you really want me out?"
CHANDLER, Yes please.
 EDDIE," Ok, then I want to hear you say it, I, I want to hear you say"
CHANDLER, I want you out.
EDDIE," No no no, I wanna hear it from your lips."
CHANDLER, Where did you hear it from before?
EDDIE," Oh, right, all right, you know what pallie I understand, consider me gone, you know"
EDDIE, I heard that.
[Scene," Central Perk. Monica and Rachel are there, Joey enters wearing an old looking"
JOEY, Hey.
MONICA, Hey.
 RACHEL," Hey. Whe-ell, look at you, finally got that time machine"
 JOEY," Seriously, you like it? This guy was sellin' them on 8th"
MONICA, A mirror?
JOEY," Fine, make fun. I think it's jaunty."
MONICA," Wow, for a guy who's recently lost his job, you're in an awfully good mood."
JOEY," Hey, I'll be alright. I mean it's not like I'm starting from sqare one. I was Dr."
 MONICA, Cache? Jaunty?
JOEY, Chandler gave me word of the day toilet paper. I'm gonna get some coffee.
PHOEBE, Hey.
MONICA, Hey.
RACHEL, Hey.
PHOEBE," Oooh, so so so, did you read the book?"
MONICA," Oh my God, it was incredible."
PHOEBE, Didn't it like totally speak to you?
RACHEL," Woah, woah, woah, what book is this?"
MONICA, Rachel you have to read this book. It's called Be Your Own Windkeeper. It's
PHOEBE," Yeah and oh, and but there's, there's wind and the wind can make us Goddesses. But"
RACHEL, Men just take out wind?
PHOEBE," Ya-huh, all the time, cause they are the lightning bearers."
RACHEL, Wow.
PHOEBE, Yeah.
RACHEL," Well that sounds kinda cool, kinda like The Hobbit."
MONICA, It is nothing like the Hobbit. It's like reading about every relationship I've
 PHOEBE," Oh yes, no, Richard would never steal your wind."
MONICA, No.
PHOEBE," No, 'cause he's yummy."
MONICA, Yes. But all the other ones.
PHOEBE," Oh yes. Oh and, the part about how they're always like drinking from out pool of"
JOEY, Anybody want a croan.
 PHOEBE," Ok, this is a typical lightning-bearer thing. Right there,"
[Scene, Estelle Leonard Talent Agency.Joey is there.]
ESTELLE, Don't worry about it already. Things happen.
JOEY," So, you're not mad at me for getting fired and everything?"
ESTELLE," Joey, look at me, look at me. Do I have lipstick on my teeth?"
JOEY," No, can we get back to me?"
ESTELLE," Look honey, people get fired left and right in this business. I already got you"
JOEY, Alright. Cab driver number two?
ESTELLE, You're welcome.
JOEY, But I was Dr. Drake Remoray. How can I go from bein' a neurosurgeon to drivin' a
ESTELLE," Things change, roll with em."
JOEY," But this is a two line part, it's like takin' a step backwards. I'm not gonna do"
ESTELLE," Joey, I'm gonna tell you the same thing I told Al Minser and his pyramid of dogs."
JOEY, I'm sorry. See ya.
[Scene," Central Perk. Monica, Phoebe, and Rachel are there. Rachel has just finished"
RACHEL," Oh, God, oh, God, I mean it's just so."
MONICA, Isn't it.
 RACHEL," Uhh, I mean this is like reading about my own life. I mean"
PHOEBE, I don't think it would have sold a million copies but it would have made a nice
ROSS, Hey you guys.
MONICA, Hey.
ROSS," Uh, sweetie we've gotta go."
RACHEL, NO!
ROSS, No?
 RACHEL," No, why do we always have to do everything according to your"
ROSS, Actually it's the movie theatre that has the time schedule. So you don't miss the
RACHEL," No, see this isn't about the movie theatre, this is about you stealing my wind."
 MONICA, You go girl. I can't pull that off can I?
ROSS," Excuse me, your, your, your wind?"
 RACHEL," Yes, my wind. How do you expect me to grow if you won't let"
ROSS," You, you know I, I don't, have a- have a problem with that."
RACHEL," Ok, I just, I just really need to be with myself right now. I'm sorry."
PHOEBE," Um-um, um-um."
RACHEL," You're right, I don't have to apologize. Sorry. Damnit!"
[Scene, Joey's apartment. Joey and Ross enter.]
JOEY, What is it?
 ROSS," I, I don't know, it's got all this stuff about wind and trees"
JOEY," See, this is why I don't date women who read. Uh-oh."
 ROSS," What, what's that?"
JOEY, It's my VISA bill. Envelope one of two. That can't be good.
ROSS," Open it, open in."
JOEY, Oh my God.
ROSS, Woah.
JOEY," Look at this, how did I spend so much money?"
ROSS," Uh Joey, that's just the minumum amount due, that's your total due."
JOEY, Ahh.
 ROSS," What, woah, woah, $3500 at porcelain safari?"
JOEY," My animals. Hey the guy said they suited me, he spoke with an accent, I was all"
ROSS, Well I guess you can start by drivin a cab on Another World.
JOEY, What?
ROSS, That audition.
JOEY, That's a two line part.
 ROSS," Joey, you owe $1100 at I Love Lucite."
JOEY, So what.
ROSS," So suck it up man, it's a job, it's money."
JOEY," Hey, look, I don't need you getting all judgemental and condescending and pedantic."
ROSS, Toilet paper?
JOEY, Yeah.
ROSS," Look, I'm not being any of those things, ok, I'm just being realistic."
JOEY," Well knock it off, you're supposed to be my friend."
ROSS, I am your friend.
 JOEY," Well then tell me things like, 'Joey you'll be fine,' and,"
ROSS, But I don't know it. What I do know is that you owe $2300 at Isn't it Chromantic.
JOEY," Hey Ross, I'm aware of what I owe."
ROSS," Ok, well then get some sense. I mean it took you what, 10 years to get that job, who"
JOEY," Look, I don't wanna hear this right now."
ROSS," Huh, I'm just saying..."
JOEY, Well don't just say.
ROSS," Ya know, maybe, maybe I should just go."
JOEY, Ok.
ROSS," Ok. I'll see ya later. Just think about it, ok."
JOEY, I don't need to think about it. I was Dr. Drake Remoray. That was huge. Big things
[Scene, Chandler's apartment. Chandler peeks in the door. He doesn't see Eddie so he
EDDIE, Hey pal.
CHANDLER, Ahhhh-gaaaahhh. Eddie what're you still doin' here?
EDDIE," Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this"
CHANDLER," Look Eddie, aren't you forgetting anything?"
 EDDIE," Oh yeah, that's right, look I got us a new goldfish. He's a"
CHANDLER," Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there"
EDDIE," Well, not unless it's got something to do with dehydrating my man because right now"
CHANDLER, Look you have to help me out here. I thought we had a deal. I thought by the
 EDDIE," Ah-ah-ah, you know what that is?"
CHANDLER, Your last roommate's kidney?
EDDIE, That's a tomato. This one definitely goes in the display.
[Scene, Central Perk. Joey goes up to the bar to order.]
JOEY," Hey Gunther, let me get a lemonade to go."
GUNTHER, Lemonade? You ok man?
JOEY," Ah, it's career stuff. I don't know if you heard but they killed off my character on"
GUNTHER," Oh, that's too bad. How'd they do it?"
JOEY, I fell down an elevator shaft.
GUNTHER, That sucks. I was buried in an avalanche.
JOEY, What?
GUNTHER, I used to be Bryce on All My Children.
[Scene, Monica and Rachel's apartment. Chandler is sleeping on the couch. Monica walks
 CHANDLER, Daaahhhh!
MONICA, Aaahhhhhhh! Aaahhhh!
CHANDLER," Why must everybody watch me sleep? There'll be no more watching me sleep, no"
MONICA, I wa-
CHANDLER, Uuuh.
[Scene, Chandler's apartment. Chandler is returning from Monica and Rachel's with his
 EDDIE," Hey man, check it out, I got some great stuff to dehydrate"
CHANDLER," Get out. Get out, get out, get out, get out, get out, get out."
EDDIE, What?
 CHANDLER," You, move out. Take your fruit, your stupid small fruit"
EDDIE," You, you want, you want me to move out?"
CHANDLER, Uh-huh.
EDDIE," I uh, I gotta tell you man, I mean, that's uh, it's kinda out of the blue, I mean"
CHANDLER," This is not out of the blue, this is smack dab in the middle of the blue."
EDDIE," Ohhhh. Relax, take it easy buddy. Tell me twice, you want me to go? Alright,"
CHANDLER, You want some help.
EDDIE, No help required Chico. [reaches into the tank and grabs the fish and puts it in
[Scene, Joey is at the cab driver interview.]
JOEY," All the way to the airport huh? You know that's over 30 miles, that's gonna cost"
CASTING GUY," Excuse me, that's 50 bucks."
JOEY, What?
CASTING GUY, Five oh dollars.
JOEY," Ohh, you know what it is? It's smudgy 'cause they're fax pages. Now when I was on Days"
CASTING GUY, That's great.
 JOEY," And, and just so you know, if you wanted to expand this scene"
 CASTING GUY," Ok, listen, thanks for coming in."
JOEY," No no, uh, don't thank me for comin' in. Uh, at least let me finish. Uh, we could"
[Scene," Monica and Rachel's apartment. Monica, Rachel, and Phoebe are sitting around"
 PHOEBE," Ok, question number 28, have you ever allowed a lighning"
MONICA, And I would have to say pah-huh.
PHOEBE, What?
MONICA, Do you not remember the puppet guy?
RACHEL, Yeah you like totally let him wash his feet in the pool of your inner power.
MONICA, And his puppet too.
 PHOEBE," Yeah ok, well at least I didn't let some guy into the forest"
MONICA, Who?
PHOEBE, Paul.
MONICA, Oh.
 RACHEL," Ok, ok, ok, moving on, moving on, next question. Ok number"
MONICA," Woah, woah, woah, let's go back to 29."
RACHEL," Not uh, not to my recollection."
MONICA," Huuh, alright, Danny Arshak, ninth grade. Oh, c'mon Rach, you know the bottle was"
RACHEL, Only 'cause you took up half the circle.
 PHOEBE, Listen to you two. It's so sad. Looks like I'm gonna be
RACHEL, Well not when they find out you slept with Jason Hurley an hour after he broke up
MONICA, One hour? You are such a leaf blower.
[Scene, Joey's apartment. Joey is watching movers take all his stuff away.]
JOEY," Oh hey uh, be careful with that 3-D last supper, Judas is a little loose."
ROSS," [enters] Oh my God, what's goin' on?"
JOEY, They're takin all my stuff back. I guess you were right.
 ROSS," No look I wasn''t right, that's what I came here to tell you."
JOEY, Thanks Ross.
ROSS, Yeah. And you should hold out for something bigger. I can't tell you how much
JOEY, I went.
ROSS," Great, how did it go?"
JOEY, I didn't get it.
ROSS, Good for you.
JOEY, What?
ROSS, You're livin' the dream.
JOEY, Huh?
ROSS, All right then.
JOEY," [movers removing a glass parrot] Oh, not my parrot."
ROSS, What?
JOEY, I can't watch this.
ROSS," [approaching the mover holding the parrot] Hey hold on, hold on. How much for the"
MOVER, 1200.
 ROSS, Dollars? You spent $1200 dollars on a plastic bird?
JOEY," Uhhh, I was an impulse buyer, near the register."
ROSS," Go ahead, go ahead with the bird. Ok, do you have anything for around 200?"
MOVER," Uh, the dog. [points to a big poecelain greyhound]"
ROSS, Huh.
MOVER, Yeah.
ROSS, I'll take it. My gift to you man.
JOEY, Thanks Ross. I really like that bird though...I'll take the dog though.
[Scene, Central Perk. Monica and Phoebe are sitting ignoring each other. Rachel walks
RACHEL, Here are your cakes.
MONICA, We didn't order cake.
RACHEL," No, I know, they're from me. Look you guys this is not good. I mean we have enough"
MONICA, You're right.
RACHEL, You know.
PHOEBE, I love you goddesses. I don't ever want to suck your wind again.
RACHEL, Thank you. So are we good?
MONICA, We're good.
RACHEL, We're good?
PHOEBE, Yeah.
 RACHEL," Ok, let me take these cakes back 'cause they're gonna take"
 CHANDLER," [enters] Ding dong, the psycho's gone."
MONICA, Are you sure this time?
 CHANDLER," Yes, yes I actually saw him leave. I mean that guy is"
 EDDIE," [enters] Check it out man, I tore it off some mannaquin in"
MONICA, There is no alley behind Macy's.
EDDIE," So I got it in the junior miss department, big diff. Anyway check it out man, it's"
CHANDLER, Our next cocktail party?
EDDIE," Yeah, you know, put chips in it, we'll make like a chip chick."
CHANDLER," Eddie, do you remember yesterday?"
